startDate,sellerMetric.value,platformMetric.value
2023-01-15,0.0,22015.0
2023-01-16,0.0,15188.0
2023-01-17,0.0,27756.0
2023-01-18,0.0,16050.0
2023-01-19,0.0,25680.0
2023-01-20,0.0,27045.0
2023-01-21,0.0,14809.0
2023-01-22,0.0,31896.0
2023-01-23,0.0,20593.0
2023-01-24,0.0,28718.0
2023-01-25,0.0,28249.0
2023-01-26,0.0,28720.0
2023-01-27,0.0,26275.0
2023-01-28,0.0,40948.0
2023-01-29,0.0,20232.0
2023-01-30,0.0,28366.0
2023-01-31,0.0,38028.62
2023-02-01,0.0,26739.0
2023-02-02,0.0,22587.0
2023-02-03,0.0,30008.0
2023-02-04,0.0,32908.0
2023-02-05,0.0,33656.0
2023-02-06,0.0,19788.0
2023-02-07,0.0,36935.0
2023-02-08,0.0,26888.0
2023-02-09,0.0,16037.0
2023-02-10,0.0,42631.0
2023-02-11,0.0,17940.0
2023-02-12,0.0,33934.0
2023-02-13,0.0,50794.0
2023-02-14,0.0,52177.0
2023-02-15,0.0,47732.0
2023-02-16,0.0,42183.0
2023-02-17,0.0,25108.0
2023-02-18,0.0,19378.0
2023-02-19,0.0,38771.0
2023-02-20,0.0,41961.0
2023-02-21,0.0,29322.0
2023-02-22,0.0,38118.0
2023-02-23,0.0,19424.0
2023-02-24,0.0,17789.0
2023-02-25,0.0,33902.0
2023-02-26,0.0,23071.0
2023-02-27,0.0,23273.0
2023-02-28,0.0,49254.0
2023-03-01,0.0,46757.0
2023-03-02,0.0,36643.0
2023-03-03,0.0,59017.0
2023-03-04,0.0,51434.0
2023-03-05,0.0,46593.0
2023-03-06,0.0,48078.0
2023-03-07,0.0,29448.0
2023-03-08,0.0,33766.0
2023-03-09,0.0,43542.0
2023-03-10,0.0,47701.0
2023-03-11,0.0,38133.0
2023-03-12,0.0,41066.0
2023-03-13,3500.0,58295.0
2023-03-14,0.0,52474.0
2023-03-15,0.0,64625.0
2023-03-16,0.0,63406.0
2023-03-17,0.0,55219.0
2023-03-18,0.0,30241.0
2023-03-19,0.0,77996.0
2023-03-20,0.0,51955.0
2023-03-21,0.0,48516.0
2023-03-22,4598.0,71394.0
2023-03-23,2299.0,67887.0
2023-03-24,2299.0,70167.0
2023-03-25,2299.0,51021.0
2023-03-26,2299.0,55606.0
2023-03-27,2429.0,87637.0
2023-03-28,2359.0,77542.0
2023-03-29,2359.0,72724.0
2023-03-30,0.0,76550.0
2023-03-31,6888.0,52854.0
2023-04-01,0.0,53016.0
2023-04-02,0.0,93149.0
2023-04-03,2429.0,93502.0
2023-04-04,13587.0,111176.0
2023-04-05,2429.0,122149.0
2023-04-06,4858.0,131484.0
2023-04-07,2359.0,132924.0
2023-04-08,0.0,135772.0
2023-04-09,19222.0,156882.0
2023-04-10,7217.0,188369.0
2023-04-11,2429.0,215543.99
2023-04-12,7147.0,197031.0
2023-04-13,2429.0,177461.0
2023-04-14,9716.0,140599.0
2023-04-15,12075.0,113661.0
2023-04-16,9576.0,214336.0
2023-04-17,16863.0,265871.0
2023-04-18,11885.0,184011.0
2023-04-19,7217.0,265662.0
2023-04-20,16653.0,278814.0
2023-04-21,7217.0,196265.0
2023-04-22,7077.0,202841.0
2023-04-23,22984.0,356673.29
2023-04-24,26229.0,314212.0
2023-04-25,23660.0,323820.0
2023-04-26,7147.0,299788.0
2023-04-27,9506.0,288415.0
2023-04-28,7077.0,253385.0
2023-04-29,12005.0,239642.73
2023-04-30,9506.0,261932.0
2023-05-01,11576.0,259380.0
2023-05-02,9356.0,271855.0
2023-05-03,9288.0,287000.0
2023-05-04,11278.0,296090.0
2023-05-05,20709.0,296990.0
2023-05-06,7021.0,212017.0
2023-05-07,11576.0,269358.5
2023-05-08,9152.0,257762.0
2023-05-09,9288.0,320460.0
2023-05-10,16220.0,369097.0
2023-05-11,13796.0,386564.0
2023-05-12,16356.0,386148.0
2023-05-13,14535.0,428507.0
2023-05-14,14657.0,477904.0
2023-05-15,12476.0,518818.92
